Monkey,Date,Channel,1 KHz Impedance,Days
Y,2016-04-28,1,,48
Y,2016-05-25,1,7200.0,75
Y,2016-07-06,1,10500.0,117
Y,2017-11-13,1,,612
Y,2018-01-11,1,,671
Y,2017-12-13,1,5534.753000000001,642
Y,2016-12-12,1,8300.0,276
Y,2017-02-10,1,9677.0,336
Y,2016-03-10,1,937.0,-1
Y,2016-04-28,2,5600.0,48
Y,2016-05-25,2,6900.0,75
Y,2016-07-06,2,9900.0,117
Y,2017-11-13,2,9644.653393999999,612
Y,2018-01-11,2,100745.1,671
Y,2017-12-13,2,,642
Y,2016-12-12,2,8860.5,276
Y,2017-02-10,2,9750.0,336
Y,2016-03-10,2,966.0,-1
Y,2016-04-28,3,6000.0,48
Y,2016-05-25,3,7900.0,75
Y,2016-07-06,3,9900.0,117
Y,2017-11-13,3,12150.25543,612
Y,2018-01-11,3,6948.066,671
Y,2017-12-13,3,6152.941,642
Y,2016-12-12,3,7657.5,276
Y,2017-02-10,3,6944.0,336
Y,2016-03-10,3,1235.0,-1
Y,2016-04-28,4,9100.0,48
Y,2016-05-25,4,9100.0,75
Y,2016-07-06,4,11700.0,117
Y,2017-11-13,4,11547.229290000001,612
Y,2018-01-11,4,17257.27,671
Y,2017-12-13,4,17821.5,642
Y,2016-12-12,4,7745.0,276
Y,2017-02-10,4,9257.0,336
Y,2016-03-10,4,690.0,-1
Y,2016-04-28,5,7600.0,48
Y,2016-05-25,5,7200.0,75
Y,2016-07-06,5,9200.0,117
Y,2017-11-13,5,13951.463319999999,612
Y,2018-01-11,5,9591.584,671
Y,2017-12-13,5,11496.5,642
Y,2016-12-12,5,9704.0,276
Y,2017-02-10,5,11991.0,336
Y,2016-03-10,5,1267.0,-1
Y,2016-04-28,6,6900.0,48
Y,2016-05-25,6,7900.0,75
Y,2016-07-06,6,9500.0,117
Y,2017-11-13,6,20559.57961,612
Y,2018-01-11,6,8436.949,671
Y,2017-12-13,6,9295.203000000001,642
Y,2016-12-12,6,9062.5,276
Y,2017-02-10,6,10899.0,336
Y,2016-03-10,6,1309.0,-1
Y,2016-04-28,7,6300.0,48
Y,2016-05-25,7,6800.0,75
Y,2016-07-06,7,8100.0,117
Y,2017-11-13,7,149280.0228,612
Y,2018-01-11,7,62547.99,671
Y,2017-12-13,7,71058.91,642
Y,2016-12-12,7,7123.5,276
Y,2017-02-10,7,8078.0,336
Y,2016-03-10,7,963.0,-1
Y,2016-04-28,8,9900.0,48
Y,2016-05-25,8,7900.0,75
Y,2016-07-06,8,11500.0,117
Y,2017-11-13,8,41169.91672,612
Y,2018-01-11,8,23621.7,671
Y,2017-12-13,8,97559.07,642
Y,2016-12-12,8,8445.5,276
Y,2017-02-10,8,30950.0,336
Y,2016-03-10,8,1312.0,-1
U,2016-07-26,1,13100.0,32
U,2018-06-13,1,,719
U,2017-02-11,1,4820.0,232
U,2016-12-13,1,7514.0,172
U,2016-06-23,1,2232.0,-1
U,2016-07-26,2,11400.0,32
U,2018-06-13,2,22508.3,719
U,2017-02-11,2,12895.0,232
U,2016-12-13,2,11215.69,172
U,2016-06-23,2,2619.0,-1
U,2016-07-26,3,16600.0,32
U,2018-06-13,3,6702.556,719
U,2017-02-11,3,6108.0,232
U,2016-12-13,3,15394.12,172
U,2016-06-23,3,1915.0,-1
U,2016-07-26,4,12600.0,32
U,2018-06-13,4,9556.438,719
U,2017-02-11,4,6392.0,232
U,2016-12-13,4,13653.45,172
U,2016-06-23,4,1571.0,-1
U,2016-07-26,5,13500.0,32
U,2018-06-13,5,5271.661999999999,719
U,2017-02-11,5,8466.0,232
U,2016-12-13,5,6392.522,172
U,2016-06-23,5,2038.0,-1
U,2016-07-26,6,11500.0,32
U,2018-06-13,6,6580.1588,719
U,2017-02-11,6,5977.0,232
U,2016-12-13,6,11000.6,172
U,2016-06-23,6,2405.0,-1
U,2016-07-26,7,15500.0,32
U,2018-06-13,7,3365.4093,719
U,2017-02-11,7,6537.0,232
U,2016-12-13,7,19097.13,172
U,2016-06-23,7,2552.0,-1
U,2016-07-26,8,15100.0,32
U,2018-06-13,8,3239.66,719
U,2017-02-11,8,6564.0,232
U,2016-12-13,8,9136.847,172
U,2016-06-23,8,2531.0,-1
Z,2016-10-21,1,10248.0,35
Z,2016-12-12,1,12480.0,87
Z,2016-09-15,1,3330.0,-1
Z,2016-10-21,2,8677.0,35
Z,2016-12-12,2,9955.0,87
Z,2016-09-15,2,2589.0,-1
Z,2016-10-21,3,11327.0,35
Z,2016-12-12,3,12117.0,87
Z,2016-09-15,3,2760.0,-1
Z,2016-10-21,4,11165.0,35
Z,2016-12-12,4,12728.0,87
Z,2016-09-15,4,3131.0,-1
Z,2016-10-21,5,10932.0,35
Z,2016-12-12,5,20130.0,87
Z,2016-09-15,5,3495.0,-1
Z,2016-10-21,6,11853.0,35
Z,2016-12-12,6,14325.0,87
Z,2016-09-15,6,2667.0,-1
Z,2016-10-21,7,13339.0,35
Z,2016-12-12,7,17212.0,87
Z,2016-09-15,7,2403.0,-1
Z,2016-10-21,8,9982.0,35
Z,2016-12-12,8,17385.0,87
Z,2016-09-15,8,2453.0,-1
